node,algorithm,operation,message_size,time_ms,energy_joule
A,AES,decrypt,IMAGE,8224,0.05059997783973813,0.00025299988919869065
B,AES,encrypt,IMAGE,8192,0.05110003985464573,0.00025550019927322865
A,AES,decrypt,IMAGE,8224,0.051799986977130175,0.0002589999348856509
B,AES,encrypt,IMAGE,8192,0.040700018871575594,0.00020350009435787797
A,AES,decrypt,IMAGE,8224,0.044599990360438824,0.00022299995180219412
B,AES,encrypt,IMAGE,8192,0.04139996599406004,0.0002069998299703002
A,AES,decrypt,IMAGE,8224,0.0543000060133636,0.000271500030066818
B,AES,encrypt,IMAGE,8192,0.03940000897273421,0.00019700004486367106
A,AES,decrypt,IMAGE,8224,0.09330001194030046,0.0004665000597015023
B,AES,encrypt,IMAGE,8192,0.054800009820610285,0.0002740000491030514
A,AES,decrypt,IMAGE,8224,0.06049999501556158,0.0003024999750778079
B,AES,encrypt,IMAGE,8192,0.04379998426884413,0.00021899992134422064
A,AES,decrypt,IMAGE,8224,0.055299955420196056,0.0002764997771009803
B,AES,encrypt,IMAGE,8192,0.04379998426884413,0.00021899992134422064
A,AES,decrypt,IMAGE,8224,0.050600036047399044,0.0002530001802369952
B,AES,encrypt,IMAGE,8192,0.037299992982298136,0.00018649996491149068
A,AES,decrypt,IMAGE,8224,0.053499999921768904,0.0002674999996088445
B,AES,encrypt,IMAGE,8192,0.04899996565654874,0.0002449998282827437
A,AES,decrypt,IMAGE,8224,0.05259999306872487,0.00026299996534362435
B,AES,encrypt,IMAGE,8192,0.044599990360438824,0.00022299995180219412
A,AES,decrypt,IMAGE,8224,0.05059997783973813,0.00025299988919869065
B,AES,encrypt,IMAGE,8192,0.04150002496317029,0.00020750012481585145
A,AES,decrypt,IMAGE,8224,0.053099996875971556,0.0002654999843798578
B,AES,encrypt,IMAGE,8192,0.043700041715055704,0.00021850020857527852
A,AES,decrypt,IMAGE,8224,0.049799971748143435,0.00024899985874071717
B,AES,encrypt,IMAGE,8192,0.04269997589290142,0.0002134998794645071
B,AES,encrypt,IMAGE,8192,0.043599982745945454,0.00021799991372972727
B,AES,encrypt,IMAGE,8192,0.046999950427562,0.00023499975213781
A,AES,decrypt,IMAGE,8224,0.046600005589425564,0.00023300002794712782
B,AES,encrypt,IMAGE,8192,0.04329998046159744,0.0002164999023079872
A,AES,decrypt,IMAGE,8224,0.057800032664090395,0.000289000163320452
B,AES,encrypt,IMAGE,8192,0.4427999956533313,0.0022139999782666564
B,AES,encrypt,IMAGE,8192,0.049900030717253685,0.0002495001535862684
B,AES,encrypt,IMAGE,8192,0.04640000406652689,0.00023200002033263445
B,AES,encrypt,IMAGE,8192,0.054500007536262274,0.00027250003768131137
B,AES,encrypt,IMAGE,8192,0.04700000863522291,0.00023500004317611456
B,AES,encrypt,IMAGE,8192,0.04550005542114377,0.00022750027710571885
B,AES,encrypt,IMAGE,8192,0.0461999443359673,0.0002309997216798365
B,AES,encrypt,IMAGE,8192,0.04610000178217888,0.0002305000089108944
B,AES,encrypt,IMAGE,8192,0.042300031054764986,0.00021150015527382493
A,AES,decrypt,IMAGE,8224,0.05679996684193611,0.00028399983420968056
B,AES,encrypt,IMAGE,8192,0.04009995609521866,0.0002004997804760933
B,AES,encrypt,IMAGE,8192,0.0467000063508749,0.0002335000317543745
B,AES,encrypt,IMAGE,8192,0.04339998122304678,0.0002169999061152339
B,AES,encrypt,IMAGE,8192,0.04349998198449612,0.00021749990992248058
B,AES,encrypt,IMAGE,8192,0.04830001853406429,0.00024150009267032146
B,AES,encrypt,IMAGE,8192,0.05059997783973813,0.00025299988919869065
B,AES,encrypt,IMAGE,8192,0.04409998655319214,0.0002204999327659607
B,AES,encrypt,IMAGE,7703,0.05019997479394078,0.0002509998739697039
A,AES,decrypt,IMAGE,8224,0.07530004950240254,0.0003765002475120127
A,AES,decrypt,IMAGE,8224,0.09240000508725643,0.00046200002543628216
A,AES,decrypt,IMAGE,8224,0.07770000956952572,0.0003885000478476286
A,AES,decrypt,IMAGE,8224,0.06120000034570694,0.0003060000017285347
A,AES,decrypt,IMAGE,8224,0.06559997564181685,0.00032799987820908427
A,AES,decrypt,IMAGE,8224,0.06379996193572879,0.00031899980967864394
A,AES,decrypt,IMAGE,8224,0.06150000263005495,0.00030750001315027475
A,AES,decrypt,IMAGE,8224,0.09889999637380242,0.0004944999818690121
A,AES,decrypt,IMAGE,8224,0.06440002471208572,0.0003220001235604286
A,AES,decrypt,IMAGE,8224,0.05660002352669835,0.00028300011763349175
A,AES,decrypt,IMAGE,8224,0.053499999921768904,0.0002674999996088445
A,AES,decrypt,IMAGE,8224,0.05829997826367617,0.00029149989131838083
A,AES,decrypt,IMAGE,8224,0.053800002206116915,0.0002690000110305846
A,AES,decrypt,IMAGE,8224,0.050099974032491446,0.00025049987016245723
A,AES,decrypt,IMAGE,8224,0.04930002614855766,0.0002465001307427883
A,AES,decrypt,IMAGE,8224,0.23780000628903508,0.0011890000314451754
A,AES,decrypt,IMAGE,8224,0.06469996878877282,0.0003234998439438641
A,AES,decrypt,IMAGE,8224,0.07000000914558768,0.0003500000457279384
A,AES,decrypt,IMAGE,8224,0.10949996067211032,0.0005474998033605516
A,AES,decrypt,IMAGE,7728,0.05199998850002885,0.00025999994250014424
A,AES,encrypt,IMAGE,8192,0.10989996371790767,0.0005494998185895383
A,AES,encrypt,IMAGE,8192,0.07810001261532307,0.00039050006307661533
B,AES,decrypt,IMAGE,8224,0.10140001541003585,0.0005070000770501792
A,AES,encrypt,IMAGE,8192,0.05360000068321824,0.0002680000034160912
B,AES,decrypt,IMAGE,8224,0.07090001599863172,0.0003545000799931586
A,AES,encrypt,IMAGE,8192,0.05269999383017421,0.00026349996915087104
B,AES,decrypt,IMAGE,8224,0.058399979025125504,0.0002919998951256275
A,AES,encrypt,IMAGE,8192,0.04780001472681761,0.00023900007363408804
B,AES,decrypt,IMAGE,8224,0.05319999763742089,0.00026599998818710446
A,AES,encrypt,IMAGE,8192,0.0447999918833375,0.0002239999594166875
B,AES,decrypt,IMAGE,8224,0.04810001701116562,0.0002405000850558281
A,AES,encrypt,IMAGE,8192,0.044199987314641476,0.00022099993657320738
